club_name,club_short_name,founded_year,club_city,country,latitude,longitude,fmi_club_id,tm_club_id,stadium_name,stadium_city,stadium_capacity,season_id,season_label,ws_club,real_club,loaned_from,squad_status,fm_unique_id,tm_player_id,tm_url,fmi_url,sofifa_id,sofifa_url,first_name,last_name,display_name,date_of_birth,height_cm,preferred_foot,primary_nationality,nationalities,tm_market_value_eur,hp_positions,np_positions,position_method,fmi_rating,fmi_potential,fmi_pace,fmi_stamina,fmi_strength,fmi_technique,fmi_dribbling,fmi_passing,fmi_crossing,fmi_tackling,fmi_positioning,fmi_finishing,fmi_heading,fmi_vision,fmi_teamwork,fmi_corners,fmi_free_kick_taking,fmi_penalty_taking,fmi_gk_reflexes,fmi_gk_handling,fmi_gk_one_on_ones,fmi_gk_positioning,fmi_gk_passing,sofifa_rating,sofifa_potential,sofifa_pace,sofifa_stamina,sofifa_strength,sofifa_dribbling,sofifa_short_passing,sofifa_long_passing,sofifa_crossing,sofifa_finishing,sofifa_heading,sofifa_standing_tackle,sofifa_defensive_awareness,sofifa_vision,sofifa_free_kick,sofifa_penalties,sofifa_gk_reflexes,sofifa_gk_handling,sofifa_gk_positioning,sofifa_gk_passing,fmi_source_version,sofifa_source_version,data_status,validation_warning
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,Hamburger SV,,first_team,2000312010,1048715,https://www.transfermarkt.de/-/profil/spieler/1048715,https://fminside.net/players/7-fm-26/2000312010-fernando-dickes,77589,https://sofifa.com/player/77589/,Fernando,Dickes,Fernando Dickes,2007-10-13,193,links,Deutschland,Deutschland,300000,TW,,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,43,,,,,,,,,,,,,,,,,,65,,,,,57,77,60,25,56,,,,,,,,,,,,59,56,52,55,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – aktuelle Ergänzung 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,Hamburger SV,,first_team,91013663,84993,https://www.transfermarkt.de/-/profil/spieler/84993,https://fminside.net/players/7-fm-26/91013663-daniel-heuer-fernandes,212197,https://sofifa.com/player/212197/,Daniel,Heuer Fernandes,Daniel Heuer Fernandes,1992-11-13,188,rechts,Portugal,Portugal|Deutschland,1200000,TW,,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,66,68,,,,,,,,,,,,,,,,,80,60,80,65,65,78,78,41,40,69,20,48,56,8,11,10,15,12,50,12,19,78,75,78,84,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – Upload 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,Hamburger SV,,first_team,53165570,549378,https://www.transfermarkt.de/-/profil/spieler/549378,https://fminside.net/players/7-fm-26/53165570-sander-tangvik,257568,https://sofifa.com/player/257568/,Sander,Tangvik,Sander Tangvik,2002-11-29,193,rechts,Norway,Norway,3000000,TW,,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,59,72,,,,,,,,,,,,,,,,,80,70,55,65,65,70,79,57,26,61,17,32,35,16,12,12,15,15,58,16,18,70,66,68,68,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – Upload 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,Hamburger SV,Tottenham Hotspur,loaned_in,2000262919,892160,https://www.transfermarkt.de/-/profil/spieler/892160,https://fminside.net/players/7-fm-26/2000262919-luka-vukovi,275192,https://sofifa.com/player/275192/,Luka,Vušković,Luka Vušković,2007-02-24,193,rechts,Croatia,Croatia,60000000,IV,,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,70,,55,60,80,60,60,60,45,60,75,55,80,55,65,30,65,65,,,,,,78,88,59,69,85,64,78,75,38,61,85,81,76,55,53,53,12,11,13,7,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – Upload 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,Hamburger SV,,first_team,91137260,227110,https://www.transfermarkt.de/-/profil/spieler/227110,https://fminside.net/players/7-fm-26/91137260-jordan-torunarigha,236947,https://sofifa.com/player/236947/,Jordan,Torunarigha,Jordan Torunarigha,1997-08-07,191,links,Nigeria,Nigeria|Deutschland,4000000,IV,,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,63,65,75,55,75,60,60,60,50,75,60,35,65,60,55,15,20,55,,,,,,74,74,82,72,89,60,71,71,56,42,76,73,71,54,25,66,11,7,5,13,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – Upload 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,Hamburger SV,,first_team,49037825,711996,https://www.transfermarkt.de/-/profil/spieler/711996,https://fminside.net/players/7-fm-26/49037825-warmed-omari,256854,https://sofifa.com/player/256854/,Warmed,Omari,Warmed Omari,2000-04-23,188,rechts,Comoros,Comoros|Frankreich,4000000,IV,,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,63,68,75,55,70,60,50,65,35,65,65,30,60,65,65,25,30,55,,,,,,72,76,60,63,77,59,71,62,44,25,73,74,71,51,32,41,14,7,10,13,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – Upload 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,Hamburger SV,Shakhtar Donetsk,loaned_in,59138495,540056,https://www.transfermarkt.de/-/profil/spieler/540056,https://fminside.net/players/7-fm-26/59138495-giorgi-gocholeishvili,274722,https://sofifa.com/player/274722/,Giorgi,Gocholeishvili,Giorgi Gocholeishvili,2001-02-14,178,rechts,Georgia,Georgia,2000000,RV,RM,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,60,68,65,65,55,60,65,60,65,60,55,35,30,50,65,60,40,55,,,,,,70,74,85,78,68,69,66,61,67,49,49,64,58,59,46,40,12,9,10,6,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – Upload 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,Hamburger SV,,first_team,2000011420,743500,https://www.transfermarkt.de/-/profil/spieler/743500,https://fminside.net/players/7-fm-26/2000011420-william-mikelbrencis,262045,https://sofifa.com/player/262045/,William,Mikelbrencis,William Mikelbrencis,2004-02-25,182,rechts,France,France,3000000,RV,RM,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,58,68,75,65,50,65,60,60,65,60,50,35,40,55,60,60,60,40,,,,,,69,80,78,69,53,66,68,66,68,40,55,68,62,59,33,44,10,9,11,7,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – Upload 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,Hamburger SV,,first_team,2000115295,529895,https://www.transfermarkt.de/-/profil/spieler/529895,https://fminside.net/players/7-fm-26/2000115295-daniel-elfadli,269962,https://sofifa.com/player/269962/,Daniel,Elfadli,Daniel Elfadli,1997-04-06,188,rechts,Libya,Libya|Deutschland,3000000,IV,DM|ZM,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,63,66,,,,,,,,,,,,,,,,,,,,,,72,73,66,84,76,59,74,69,57,53,64,72,75,44,49,48,14,14,10,12,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – Upload 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,Hamburger SV,,first_team,14183076,649672,https://www.transfermarkt.de/-/profil/spieler/649672,https://fminside.net/players/7-fm-26/14183076-nicolas-capaldo,246885,https://sofifa.com/player/246885/,Nicolás,Capaldo,Nicolás Capaldo,1998-09-14,177,rechts,Argentina,Argentina|Italien,8000000,ZM,DM|IV,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,64,72,75,75,60,55,60,55,55,80,60,40,65,55,80,60,55,55,,,,,,73,74,76,90,72,71,73,71,64,70,54,72,71,69,55,60,11,6,12,13,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – Upload 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
Hamburger SV,HSV,1887,Hamburg,Deutschland,53.587222,9.898611,947,41,Volksparkstadion,Hamburg,57000,2025,2025/26,Hamburger SV,Hamburger SV,,suspended,24057528,432757,https://www.transfermarkt.de/-/profil/spieler/432757,https://fminside.net/players/7-fm-26/24057528-mario-vukovi,262578,https://sofifa.com/player/262578/,Mario,Vušković,Mario Vušković,2001-11-16,189,rechts,Kroatien,Kroatien,,IV,DM,aktuelles TM-/CMTracker-Profil; HP/NP-Profilfallback,60,66,60,40,70,60,55,65,45,60,65,35,65,60,60,30,75,65,,,,,,72,83,,,,,,,,,,,,,,,,,,,FMInside – FM26/FM26.2 aktuell am 2026-06-17,CMTracker/EA FC26 – aktuelle Ergänzung 2026-06-17,import_ready,Aktuelle Quelle enthält nicht alle vereinbarten Rohattribute; fehlende Werte bleiben leer/NULL.
