Verein;Ansässig in;Liga;Unique ID;Aufgestellt;Spieler;2. Nation;Nation;Geb.
SV Elversberg;Deutschland;2. Bundesliga;37060940;;Immanuel Pherai;Niederlande;Suriname;25.4.2001
SV Elversberg;Deutschland;2. Bundesliga;96131652;;Łukasz Poręba;;Polen;13.3.2000
Saint-Étienne;Frankreich;Ligue 2 BKT;2000316142;;Aboubaka Soumahoro;Elfenbeinküste;Frankreich;4.2.2005
Maccabi Tel Aviv;Israel;Premier League;47064790;;Emir Sahiti;Albanien;Kosovo;29.11.1998
Hamburger SV;Deutschland;Bundesliga;14183076;;Nicolás Capaldo;Italien;Argentinien;14.9.1998
Hamburger SV;Deutschland;Bundesliga;2000172478;;Damion Downs;Deutschland;USA;6.7.2004
Hamburger SV;Deutschland;Bundesliga;83174759;;Fábio Vieira;;Portugal;30.5.2000
Hamburger SV;Deutschland;Bundesliga;59138495;;Giorgi Gocholeishvili;;Georgien;14.2.2001
Hamburger SV;Deutschland;Bundesliga;47101258;;Philip Otele;;Nigeria;15.4.1999
Hamburger SV;Deutschland;Bundesliga;27139574;;Albert Grønbæk;;Dänemark;23.5.2001
Hamburger SV;Deutschland;Bundesliga;2000313833;;Alexander Røssing-Lelesiit;Kenia;Norwegen;19.1.2007
Hamburger SV;Deutschland;Bundesliga;2000161478;;Fabio Baldé;Portugal;Deutschland;20.7.2005
Hamburger SV;Deutschland;Bundesliga;2000115295;;Daniel Elfadli;Deutschland;Libyen;6.4.1997
Hamburger SV;Deutschland;Bundesliga;2000036575;;Nicolai Remberg;;Deutschland;19.6.2000
Hamburger SV;Deutschland;Bundesliga;2000011420;;William Mikelbrencis;;Frankreich;25.2.2004
Hamburger SV;Deutschland;Bundesliga;92083800;;Bakery Jatta;Deutschland;Gambia;6.6.1998
Hamburger SV;Deutschland;Bundesliga;91178620;;Noah Katterbach;;Deutschland;13.4.2001
Hamburger SV;Deutschland;Bundesliga;2000262919;;Luka Vušković;;Kroatien;24.2.2007
Hamburger SV;Deutschland;Bundesliga;91137260;;Jordan Torunarigha;Deutschland;Nigeria;7.8.1997
Hamburger SV;Deutschland;Bundesliga;91124152;;Robert Glatzel;Eritrea;Deutschland;8.1.1994
Hamburger SV;Deutschland;Bundesliga;91119701;;Levin Öztunali;Türkei;Deutschland;15.3.1996
