Verein;Halten;Eins gegen Eins;Reflexe;Technik;Tackling;Elfmeter;Passen;Weitschüsse;Kopfballtechnik;Freistöße;Abschluss;Dribbling;Flanken;Ecken;Kraft;Ausdauer;Schnelligkeit;Übersicht;Teamwork;Stellungsspiel;Starker Fuß;Fähigkeit;Pot;Unique ID;Größe;Spieler;2. Nation;Nation;Geb.
SV Elversberg;13;15;15;11;1;2;11;3;5;7;1;3;2;5;13;10;9;11;12;14;Rechts;122;130;16175067;185 cm;Nicolas Kristof;Deutschland;Österreich;20.12.1999
SV Elversberg;13;11;13;4;3;3;4;3;1;5;1;1;1;3;5;2;10;5;6;7;Rechts;60;96;2000433415;186 cm;Blero Kuqi;;Deutschland;18.4.2008
SV Elversberg;13;14;14;7;3;5;8;2;4;5;2;3;2;3;10;8;9;7;12;13;Nur Rechts;102;110;91132868;186 cm;Tim Boss;;Deutschland;28.6.1993
SV Elversberg;12;12;12;7;3;2;8;3;7;7;3;2;3;5;12;8;7;8;14;13;Nur Rechts;95;100;35015110;193 cm;Frank Lehmann;Deutschland;Deutschland;29.4.1989
SV Elversberg;12;5;10;1;1;1;7;3;1;4;1;1;2;2;4;1;10;4;5;10;Rechts;67;98;2000425857;189 cm;Jonas Pohl;;Deutschland;19.2.2007
SV Elversberg II;11;6;11;2;1;2;9;3;1;6;1;3;1;4;4;1;11;6;7;7;Rechts;68;107;2000425858;188 cm;Paul Lorenz;Deutschland;Deutschland;29.6.2007
SV Elversberg II;9;6;8;3;2;1;9;1;1;6;3;2;1;2;5;4;11;5;6;6;Rechts;54;69;2000243702;192 cm;Jan Schunck;Niederlande;Deutschland;31.1.2006
SV Elversberg;4;2;1;9;4;4;7;6;4;5;10;10;9;4;3;13;11;8;6;5;Links;56;84;2000433402;171 cm;Tyler Keller;;Deutschland;10.7.2008
SV Elversberg II;4;1;1;13;5;6;12;11;5;11;7;11;10;8;5;8;12;13;11;4;Rechts;81;109;18113785;178 cm;Alan Rodriguez;Frankreich;Schweiz;12.7.2002
SV Elversberg;3;2;3;1;12;3;3;3;13;1;2;1;1;4;3;12;8;4;5;12;Rechts;60;93;2000425855;173 cm;Niklas Bellmann;;Deutschland;12.4.2007
SV Elversberg;3;3;1;10;9;5;11;8;8;6;7;5;6;6;6;6;13;14;7;5;Rechts;63;98;2000433404;180 cm;Yannis Dörholt;;Deutschland;11.1.2008
SV Elversberg;3;2;2;9;6;5;8;7;5;3;6;14;10;6;4;5;13;6;7;6;Nur Links;61;72;2000331113;176 cm;Nikita Kryvtsov;;Ukraine;25.1.2007
SV Elversberg II;3;2;3;7;4;3;9;5;4;4;2;2;3;4;5;7;13;12;6;5;Rechts;48;70;2000136054;187 cm;Alessandro Lazzano;Italien;Deutschland;27.9.2004
