"attributes.acceleration","attributes.sprintspeed","attributes.agility","attributes.balance","attributes.jumping","attributes.stamina","attributes.strength","attributes.reactions","attributes.aggression","attributes.composure","attributes.interceptions","attributes.positioning","attributes.vision","attributes.ballcontrol","attributes.crossing","attributes.dribbling","attributes.finishing","attributes.freekickaccuracy","attributes.headingaccuracy","attributes.longpassing","attributes.shortpassing","attributes.marking","attributes.shotpower","attributes.longshots","attributes.standingtackle","attributes.slidingtackle","attributes.volleys","attributes.curve","attributes.penalties","attributes.gkdiving","attributes.gkhandling","attributes.gkkicking","attributes.gkreflexes","attributes.gkpositioning","stats.attack","stats.defending","stats.skill","stats.power","stats.movement","stats.mentality","stats.goalkeeper","info.contract.jointeamdate","info.contract.enddate","info.contract.isloanedout","info.nation.id","info.nation.name","info.name.firstname","info.name.lastname","info.name.playerjerseyname","info.name.knownas","info.name.firstnameid","info.name.lastnameid","info.name.playerjerseynameid","info.playerid","info.total_attributes","info.overallrating","info.potential","info.birthdate","info.age","info.teams.club_team.id","info.teams.club_team.name","info.teams.club_team.leagueid","info.teams.club_team.domesticprestige","info.teams.club_team.profitability","info.teams.club_team.slug","info.teams.club_team.jerseynumber","info.league","info.headshot","info.haircolor","info.eyecolor","info.skintone","info.headtype","info.bodytype","info.preferredfoot","info.skillmoves","info.weafoot","info.internationalrep","info.ovrmodifier","info.release_clause","info.height","info.weight","info.gender","info.defensiveworkrate","info.attackingworkrate","info.real_face","info.isretiring","info.valueUSD","info.valueEUR","info.valueGBP","info.wageUSD","info.wageEUR","info.wageGBP","info.traits.trait1","info.traits.trait2","card_attrs.pac","card_attrs.sho","card_attrs.pas","card_attrs.dri","card_attrs.def","card_attrs.phy","primary_position","other_positions","updated","added","removed","slug","real_ovrs.0","real_ovrs.1","real_ovrs.2","real_ovrs.3","real_ovrs.4","real_ovrs.5","real_ovrs.6","real_ovrs.7","real_ovrs.8","real_ovrs.9","real_ovrs.10"
42,52,63,45,68,38,70,88,23,66,15,13,60,23,14,13,14,20,13,35,33,20,59,17,18,16,12,19,27,86,89,78,90,88,18,18,22,51,58,34,87,"2018-08-09","2027-06-01",0,7,"Belgium","Thibaut","Courtois","Courtois","Thibaut Courtois",36190,7858,7858,192119,1427,90,90,"1992-05-11T00:00:00.000Z",33,243,"Real Madrid",53,10,7,"real-madrid",1,53,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p192119.png",3,3,2,30,13,"Left",1,3,5,2,68700000,200,96,"Male",,,"Yes","No",45500000,39000000,33500000,280000,240000,210000,"","GK Far Throw, GK Far Reach",47,24,30,50,16,50,"GK","-",false,false,false,"thibaut-courtois",87,29,29,29,32,31,34,34,32,30,31
65,66,68,66,70,66,74,89,73,87,65,81,92,89,93,85,78,83,55,93,92,65,90,87,70,55,81,93,83,15,13,5,13,10,80,64,89,78,71,81,12,"2025-07-01","2027-06-01",0,7,"Belgium","Kevin","De Bruyne","De Bruyne","Kevin De Bruyne",19357,8726,8726,192985,2310,87,87,"1991-06-28T00:00:00.000Z",34,48,"Napoli",31,8,9,"napoli",11,31,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p192985.png",2,8,2,6,321,"Right",4,5,4,1,,181,75,"Male",,,"Yes","No",43500000,36500000,31500000,210000,175000,150000,"Dead Ball, Pinged Pass, Inventive, Anticipate","",66,83,91,81,62,71,"CM","CAM",false,false,false,"kevin-de-bruyne",20,75,71,68,77,84,85,85,83,83,79
42,53,64,48,72,42,78,85,36,68,24,11,60,30,13,12,11,14,15,40,43,27,59,12,14,18,13,13,11,85,90,79,87,86,19,20,22,53,59,35,86,"2014-07-16","2028-06-01",0,44,"Slovenia","Jan","Oblak","Oblak","Jan Oblak",17069,27742,27742,200389,1455,88,88,"1993-01-07T00:00:00.000Z",32,240,"Atlético de Madrid",53,9,7,"atletico-de-madrid",13,53,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p200389.png",6,9,2,34,259,"Right",1,3,4,2,94500000,188,87,"Male",,,"Yes","No",53500000,45000000,39000000,100000,87000,74000,"","GK Far Throw, GK Far Reach",48,20,31,51,20,57,"GK","-",false,false,false,"jan-oblak",86,32,31,33,37,33,37,36,33,31,32
63,65,67,72,87,76,87,94,82,92,42,95,86,87,80,80,96,69,90,82,86,46,92,90,44,42,90,82,92,8,10,11,11,14,89,44,80,87,73,82,11,"2023-08-12","2027-06-01",0,14,"England","Harry","Kane","Kane","Harry Kane",14769,18800,18800,202126,2310,90,90,"1993-07-28T00:00:00.000Z",31,21,"Bayern München",19,10,3,"bayern-munchen",9,19,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p202126.png",5,2,3,1,368,"Right",3,4,5,1,,188,86,"Male",,,"Yes","No",119000000,101000000,87000000,200000,170000,145000,"Precision Header, Low Driven Shot, Gamechanger, Long Ball Pass, First Touch, Press Proven","",64,93,81,82,53,83,"ST","-",false,false,false,"harry-kane",19,66,63,63,68,82,81,85,86,83,88
66,78,54,50,89,75,92,89,80,89,88,47,70,77,53,70,52,70,88,83,80,90,81,64,90,87,45,60,62,13,10,13,11,11,64,89,72,81,68,73,12,"2018-01-01","2027-06-01",0,34,"Holland","Virgil","van Dijk","Virgil","Virgil van Dijk",38085,40693,38085,203376,2177,88,88,"1991-07-08T00:00:00.000Z",33,9,"Liverpool",13,10,6,"liverpool",4,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p203376.png",0,9,4,1014,314,"Right",2,3,5,1,,195,92,"Male",,,"Yes","No",51500000,43500000,37500000,270000,230000,195000,"Precision Header, Pinged Pass, Jockey, Intercept, Anticipate, Bruiser","Career One Club Player",72,59,69,72,89,84,"CB","-",false,false,false,"virgil-van-dijk",19,78,81,87,83,69,76,70,69,67,70
75,80,68,67,89,79,79,86,81,86,89,70,76,79,68,69,59,32,88,85,84,90,65,45,89,88,35,58,52,6,6,12,13,10,67,89,65,72,76,76,10,"2013-07-19","2028-06-01",0,54,"Brazil","Marcos","Aoás Corrêa","Marquinhos","Marquinhos",23599,2432,23838,207865,2158,87,87,"1994-05-14T00:00:00.000Z",31,73,"Paris Saint-Germain",16,10,10,"paris-saint-germain",5,16,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p207865.png",0,9,5,1508,2,"Right",3,3,4,1,,183,75,"Male",,,"Yes","No",64000000,54500000,47000000,175000,145000,125000,"Jockey, Anticipate, Aerial Fortress","Career Injury Prone",78,54,67,76,89,82,"CB","-",false,false,false,"marcos-aoas-correa",17,82,83,86,84,75,78,74,73,72,71
87,86,86,91,79,85,75,88,63,89,55,88,88,87,86,87,88,69,59,80,86,38,83,78,43,41,83,88,88,14,14,9,14,11,81,41,83,80,88,79,13,"2017-07-01","2027-06-01",0,111,"Egypt","Mohamed","Salah","M.Salah","Mohamed Salah",25486,32410,22736,209331,2306,89,89,"1992-06-15T00:00:00.000Z",33,9,"Liverpool",13,10,6,"liverpool",11,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p209331.png",0,9,3,1512,25,"Left",4,3,5,2,,175,72,"Male",,,"Yes","No",76000000,64000000,55000000,300000,260000,220000,"Low Driven Shot, Gamechanger, Whipped Pass, Inventive, Technical, First Touch","Career One Club Player",87,85,83,88,47,76,"RM","RW",false,false,false,"mohamed-salah",21,70,66,57,68,86,81,86,86,86,83
68,66,78,73,69,95,61,92,84,88,64,86,93,89,85,81,82,85,63,92,92,65,86,85,71,66,87,85,91,12,14,15,14,8,82,68,87,80,76,85,13,"2020-01-30","2027-06-01",0,38,"Portugal","Bruno Miguel","Borges Fernandes","B.Fernandes","Bruno Fernandes",5603,5084,3236,212198,2385,88,88,"1994-09-08T00:00:00.000Z",30,11,"Manchester United",13,7,6,"manchester-united",8,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p212198.png",0,4,4,1508,400,"Right",4,4,4,1,,179,69,"Male",,,"Yes","No",104000000,88000000,76000000,250000,210000,180000,"Dead Ball, Gamechanger, Incisive Pass, Long Ball Pass, Tiki Taka, Inventive","",67,86,89,84,66,77,"CAM","CM",false,false,false,"bruno-miguel-borges-fernandes",20,78,75,70,80,85,87,86,84,83,80
75,70,83,84,77,92,69,89,89,87,85,78,86,86,92,82,68,79,72,92,89,82,78,78,86,85,69,85,71,8,15,7,15,15,78,85,85,79,81,83,12,"2015-07-01","2029-06-01",0,21,"Germany","Joshua","Kimmich","Kimmich","Joshua Kimmich",17974,19642,19642,212622,2418,89,89,"1995-02-08T00:00:00.000Z",30,21,"Bayern München",19,10,3,"bayern-munchen",6,19,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p212622.png",5,2,3,20,2,"Right",3,4,5,2,,177,75,"Male",,,"Yes","No",102000000,86000000,74000000,165000,140000,120000,"Whipped Pass, Anticipate, Press Proven, Relentless","",73,74,87,85,82,82,"CDM","RB | CM",false,false,false,"joshua-kimmich",21,85,84,82,86,83,86,83,80,81,76
60,49,40,37,82,32,78,84,27,66,11,13,66,42,17,27,13,18,29,58,60,15,62,14,19,16,20,19,23,86,87,83,87,88,28,17,33,54,54,35,87,"2018-07-19","2027-06-01",0,54,"Brazil","Alisson","Ramses Becker","A.Becker","Alisson",1618,30728,127,212831,1528,88,88,"1992-10-02T00:00:00.000Z",32,9,"Liverpool",13,10,6,"liverpool",1,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p212831.png",3,8,3,1540,312,"Right",1,3,5,2,,193,91,"Male",,,"Yes","No",53500000,45000000,39000000,175000,145000,125000,"","GK Far Throw, GK Deflector",55,24,40,49,18,55,"GK","-",false,false,false,"alisson-ramses-becker",86,33,32,33,39,41,45,44,41,38,38
