fm_uid,name,nationality,nationality_code,birth_date,level,quote,karten_tendenz,spielfluss_tendenz,vorsaison_spiele,vorsaison_gelb_avg,vorsaison_rot,vorsaison_elfmeter,vorsaison_umstritten,vorsaison_competitions
103966,Rob Jones,England,gb-eng,01.07.1987,5,15,11,10,28,"4,6",3,5,1,"Premier League, FA Cup, Internationale Wettbewerbe"
29039229,Craig Pawson,England,gb-eng,01.07.1979,5,16,11,10,28,"4,5",3,6,0,"Premier League, FA Cup, Internationale Wettbewerbe"
29059373,Tony Harrington,England,gb-eng,01.07.1980,5,15,11,10,27,"4,2",2,5,1,"Premier League, FA Cup, Internationale Wettbewerbe"
29143253,John Brooks,England,gb-eng,01.07.1991,5,15,11,10,24,"4,6",4,4,0,"Premier League, FA Cup, Internationale Wettbewerbe"
91123486,Robert Schröder,Deutschland,de,01.07.1986,5,15,11,10,27,"4,2",2,5,1,"Bundesliga, DFB-Pokal, Internationale Wettbewerbe"
57134831,Mircea Mihail Grigoriu,Rumänien,ro,01.07.1989,5,14,9,12,25,"4,0",4,4,0,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
47017164,Andris Treimanis,Lettland,lv,01.07.1985,4,15,9,12,26,"4,0",4,5,0,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
48047898,Mathieu Vernice,Frankreich,fr,01.07.1994,4,14,11,10,25,"4,6",2,5,0,"Ligue 1, Coupe de France, Internationale Wettbewerbe"
14089867,Facundo Tello,Argentinien,ar,01.07.1982,4,18,12,9,22,"4,2",2,5,0,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
62122857,Srđan Jovanović,Serbien,rs,01.07.1986,4,14,8,13,24,"4,0",3,6,0,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
51042830,Marco Antonio Ortiz Nava,Mexiko,mx,01.07.1988,4,13,11,10,23,"4,3",2,5,0,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
57143843,Alexandru Cerei,Rumänien,ro,01.07.1986,4,12,9,12,23,"3,9",3,5,1,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
62163297,Rade Obrenović,Slowenien,si,01.07.1991,4,12,11,10,22,"4,2",2,4,1,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
353040,Huw Jones,Wales,gb-wls,01.07.1973,4,15,8,13,22,"4,0",3,4,0,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
7520183,Ádám Farkas,Ungarn,hu,01.07.1982,4,15,7,14,25,"3,8",2,5,1,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
8507341,Jonas Turunen,Finnland,fi,01.07.1978,4,13,11,10,23,"4,2",2,5,0,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
13100803,Bakary Papa Gassama,Gambia,gm,01.07.1972,4,15,11,10,25,"4,5",4,4,1,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
18090665,Lawrence Visser,Belgien,be,01.07.1990,4,11,11,10,24,"4,1",4,4,1,"Pro League, Beker van België, Internationale Wettbewerbe"
39032073,Jóhann Gunnar Guðmundsson,Island,is,01.07.1979,4,13,11,10,22,"4,1",2,5,1,"1. Liga, Nationaler Pokal, Internationale Wettbewerbe"
