exp_label,exp_value,scenario_id,scenario_label,home_team,away_team,n,home_win_pct,draw_pct,away_win_pct,avg_home_goals,avg_away_goals,avg_total_goals,avg_home_xg,avg_away_xg,avg_home_shots,avg_away_shots,avg_home_possession,avg_away_possession,avg_home_fouls,avg_away_fouls,avg_home_yellow,avg_away_yellow,avg_home_fatigue_cost,lead_after_80_count,leads_protected_after_80,leads_lost_after_80,lead_protected_pct,lead_lost_pct,trailed_at_60_count,comeback_wins,comeback_draws,comeback_win_pct
exp_1.00 (current),1.0,equal_top_vs_equal_top,Bayern vs Bayern,FC Bayern München,FC Bayern München,1000,39.9,24.5,35.6,1.437,1.329,2.766,1.3899,1.3899,10.61,10.56,50.0,50.0,15.02,14.92,1.388,1.422,1.035,394,355,39,90.1,9.9,311,14,42,4.5
exp_1.00 (current),1.0,equal_mid_vs_equal_mid,Mid(150) vs Mid(150),Mid-Team (150),Mid-Team (150),1000,37.4,25.1,37.5,1.367,1.424,2.791,1.3579,1.3579,10.72,10.69,50.0,50.0,14.94,15.01,1.406,1.453,1.035,358,334,24,93.3,6.7,345,13,51,3.77
exp_1.00 (current),1.0,top_vs_mid,Bayern vs Mid(150),FC Bayern München,Mid-Team (150),1000,42.5,26.8,30.7,1.515,1.267,2.782,1.5153,1.2456,10.96,10.56,51.0,49.0,14.88,15.15,1.413,1.436,1.035,412,383,29,92.96,7.04,292,8,51,2.74
exp_1.00 (current),1.0,mid_vs_top,Mid(150) vs Bayern,Mid-Team (150),FC Bayern München,1000,32.2,27.1,40.7,1.23,1.439,2.669,1.2456,1.5153,10.36,10.72,49.0,51.0,15.05,14.98,1.417,1.448,1.035,315,292,23,92.7,7.3,388,11,56,2.84
exp_1.00 (current),1.0,top_vs_low,Bayern vs Low(130),FC Bayern München,Low-Team (130),1000,51.5,23.4,25.1,1.758,1.16,2.918,1.7484,1.0795,10.77,10.53,53.0,47.0,15.16,14.99,1.455,1.401,1.035,493,464,29,94.12,5.88,229,12,44,5.24
exp_1.00 (current),1.0,low_vs_top_defensive,Low(130) vs Bayern — Außenseiter defensiv,Low-Team (130),FC Bayern München,1000,22.7,23.4,53.9,1.073,1.795,2.868,1.0795,1.7484,10.38,10.97,47.0,53.0,15.05,15.11,1.45,1.417,1.035,230,208,22,90.43,9.57,483,6,55,1.24
exp_1.00 (current),1.0,top_attacking_vs_low_compact,Bayern vs Low(130) kompakt,FC Bayern München,Low-Kompakt (130),1000,54.4,23.1,22.5,1.649,0.981,2.63,1.6631,0.9866,10.68,9.26,52.0,48.0,15.09,15.34,1.464,1.459,1.035,524,508,16,96.95,3.05,232,15,46,6.47
exp_1.15,1.15,equal_top_vs_equal_top,Bayern vs Bayern,FC Bayern München,FC Bayern München,1000,39.8,24.0,36.2,1.482,1.428,2.91,1.3948,1.3948,10.63,10.63,50.0,50.0,15.04,15.07,1.424,1.356,1.035,382,361,21,94.5,5.5,351,16,50,4.56
exp_1.15,1.15,equal_mid_vs_equal_mid,Mid(150) vs Mid(150),Mid-Team (150),Mid-Team (150),1000,37.1,26.1,36.8,1.403,1.451,2.854,1.3579,1.3579,10.6,10.76,50.0,50.0,14.99,14.96,1.423,1.421,1.035,354,332,22,93.79,6.21,340,6,56,1.76
exp_1.15,1.15,top_vs_mid,Bayern vs Mid(150),FC Bayern München,Mid-Team (150),1000,43.7,26.6,29.7,1.585,1.271,2.856,1.5404,1.2296,10.88,10.46,51.0,49.0,15.01,14.93,1.446,1.422,1.035,436,405,31,92.89,7.11,285,13,53,4.56
