scenario_id,scenario_label,home_team,away_team,variant,n,home_win_pct,draw_pct,away_win_pct,avg_home_goals,avg_away_goals,avg_total_goals,avg_home_xg,avg_away_xg,avg_home_shots,avg_away_shots,avg_home_possession,avg_away_possession,avg_home_fouls,avg_away_fouls,avg_home_yellow,avg_away_yellow,avg_home_fatigue_cost,avg_plan_activations,lead_after_80_count,leads_protected_after_80,leads_lost_after_80,lead_protected_pct,lead_lost_pct,trailed_at_60_count,comeback_wins,comeback_draws,comeback_win_pct
equal_top_vs_equal_top,Bayern vs Bayern,FC Bayern München,FC Bayern München,baseline_no_conditions,10000,37.84,25.06,37.1,1.43,1.413,2.843,1.3981,1.3981,10.62,10.59,50.0,50.0,14.97,14.88,1.426,1.41,1.035,0.0,3645,3397,248,93.2,6.8,3404,124,488,3.64
equal_top_vs_equal_top,Bayern vs Bayern,FC Bayern München,FC Bayern München,fluegelspiel,10000,38.27,25.1,36.63,1.445,1.411,2.856,1.4331,1.3981,10.63,10.67,50.0,50.0,14.97,14.97,1.408,1.416,1.035,0.0,3739,3466,273,92.7,7.3,3345,137,479,4.1
equal_top_vs_equal_top,Bayern vs Bayern,FC Bayern München,FC Bayern München,durch_mitte,10000,35.2,25.04,39.76,1.338,1.429,2.767,1.3553,1.3981,10.6,10.59,50.0,50.0,15.02,15.0,1.437,1.411,1.035,0.0,3400,3162,238,93.0,7.0,3589,126,487,3.51
equal_top_vs_equal_top,Bayern vs Bayern,FC Bayern München,FC Bayern München,conditions_full_matchplan,10000,38.64,24.93,36.43,1.422,1.407,2.829,1.4156,1.407,10.8,10.59,50.4,49.6,15.02,15.0,1.402,1.416,1.0495,1.186,3762,3509,253,93.27,6.73,3393,141,544,4.16
equal_top_vs_equal_top,Bayern vs Bayern,FC Bayern München,FC Bayern München,high_press,10000,38.76,24.83,36.41,1.434,1.368,2.802,1.4231,1.3697,10.9,10.6,50.0,50.0,16.41,14.96,1.51,1.419,1.085,0.0,3724,3488,236,93.66,6.34,3342,134,468,4.01
equal_top_vs_equal_top,Bayern vs Bayern,FC Bayern München,FC Bayern München,schlussangriff_like,10000,37.83,24.58,37.59,1.397,1.402,2.799,1.3981,1.3981,10.65,10.65,50.0,50.0,15.01,15.0,1.42,1.421,1.035,0.0,3676,3411,265,92.79,7.21,3391,138,442,4.07
equal_top_vs_equal_top,Bayern vs Bayern,FC Bayern München,FC Bayern München,low_press,10000,35.32,25.45,39.23,1.349,1.419,2.768,1.3806,1.4179,10.47,10.65,50.0,50.0,14.01,15.03,1.351,1.402,1.0,0.0,3488,3194,294,91.57,8.43,3536,117,490,3.31
equal_top_vs_equal_top,Bayern vs Bayern,FC Bayern München,FC Bayern München,zeitspiel_like,10000,37.62,25.39,36.99,1.409,1.401,2.81,1.3981,1.3981,10.7,10.64,50.0,50.0,14.99,14.99,1.429,1.416,1.035,0.0,3672,3411,261,92.89,7.11,3426,125,507,3.65
equal_mid_vs_equal_mid,Mid(150) vs Mid(150),Mid-Team (150),Mid-Team (150),baseline_no_conditions,10000,37.81,25.21,36.98,1.392,1.371,2.763,1.3579,1.3579,10.64,10.57,50.0,50.0,14.93,15.02,1.437,1.428,1.035,0.0,3682,3428,254,93.1,6.9,3375,127,487,3.76
equal_mid_vs_equal_mid,Mid(150) vs Mid(150),Mid-Team (150),Mid-Team (150),zeitspiel_like,10000,37.43,25.63,36.94,1.362,1.349,2.711,1.3579,1.3579,10.56,10.59,50.0,50.0,14.98,14.94,1.425,1.416,1.035,0.0,3645,3390,255,93.0,7.0,3357,113,489,3.37
