exp_label,exp_value,scenario_id,scenario_label,home_team,away_team,n,home_win_pct,draw_pct,away_win_pct,avg_home_goals,avg_away_goals,avg_total_goals,avg_home_xg,avg_away_xg,avg_home_shots,avg_away_shots,avg_home_possession,avg_away_possession,avg_home_fouls,avg_away_fouls,avg_home_yellow,avg_away_yellow,avg_home_fatigue_cost,lead_after_80_count,leads_protected_after_80,leads_lost_after_80,lead_protected_pct,lead_lost_pct,trailed_at_60_count,comeback_wins,comeback_draws,comeback_win_pct
exp_1.00 (current),1.0,equal_top_vs_equal_top,Bayern vs Bayern,FC Bayern München,FC Bayern München,5000,37.88,25.34,36.78,1.403,1.378,2.781,1.3899,1.3899,10.7,10.6,50.0,50.0,15.06,15.0,1.401,1.443,1.035,1857,1715,142,92.35,7.65,1677,59,262,3.52
exp_1.00 (current),1.0,equal_mid_vs_equal_mid,Mid(150) vs Mid(150),Mid-Team (150),Mid-Team (150),5000,36.58,26.6,36.82,1.358,1.355,2.713,1.3579,1.3579,10.58,10.59,50.0,50.0,14.98,14.95,1.435,1.439,1.035,1793,1658,135,92.47,7.53,1642,47,239,2.86
exp_1.00 (current),1.0,top_vs_mid,Bayern vs Mid(150),FC Bayern München,Mid-Team (150),5000,43.94,25.38,30.68,1.513,1.247,2.759,1.5153,1.2456,10.72,10.52,51.0,49.0,14.9,15.02,1.417,1.459,1.035,2128,2006,122,94.27,5.73,1475,72,244,4.88
exp_1.00 (current),1.0,mid_vs_top,Mid(150) vs Bayern,Mid-Team (150),FC Bayern München,5000,31.94,25.16,42.9,1.256,1.494,2.75,1.2456,1.5153,10.53,10.59,49.0,51.0,14.95,15.0,1.433,1.422,1.035,1564,1430,134,91.43,8.57,1953,61,244,3.12
exp_1.00 (current),1.0,top_vs_low,Bayern vs Low(130),FC Bayern München,Low-Team (130),5000,53.04,23.54,23.42,1.725,1.074,2.799,1.7484,1.0795,10.79,10.44,53.0,47.0,15.02,15.01,1.424,1.427,1.035,2573,2455,118,95.41,4.59,1123,60,212,5.34
exp_1.00 (current),1.0,low_vs_top_defensive,Low(130) vs Bayern — Außenseiter defensiv,Low-Team (130),FC Bayern München,5000,23.68,25.54,50.78,1.086,1.704,2.79,1.0795,1.7484,10.47,10.91,47.0,53.0,15.01,15.05,1.415,1.401,1.035,1205,1073,132,89.05,10.95,2275,39,256,1.71
exp_1.00 (current),1.0,top_attacking_vs_low_compact,Bayern vs Low(130) kompakt,FC Bayern München,Low-Kompakt (130),5000,52.9,23.88,23.22,1.623,0.992,2.615,1.6631,0.9866,10.75,9.23,52.0,48.0,14.93,15.4,1.444,1.454,1.035,2547,2431,116,95.45,4.55,1104,65,205,5.89
exp_1.15,1.15,equal_top_vs_equal_top,Bayern vs Bayern,FC Bayern München,FC Bayern München,5000,37.1,25.44,37.46,1.386,1.396,2.783,1.3948,1.3948,10.6,10.49,50.0,50.0,15.01,14.97,1.426,1.428,1.035,1804,1666,138,92.35,7.65,1730,71,246,4.1
exp_1.15,1.15,equal_mid_vs_equal_mid,Mid(150) vs Mid(150),Mid-Team (150),Mid-Team (150),5000,37.24,26.14,36.62,1.366,1.348,2.714,1.3579,1.3579,10.67,10.58,50.0,50.0,14.92,14.94,1.406,1.441,1.035,1822,1688,134,92.65,7.35,1662,64,252,3.85
exp_1.15,1.15,top_vs_mid,Bayern vs Mid(150),FC Bayern München,Mid-Team (150),5000,44.76,25.04,30.2,1.555,1.212,2.767,1.5404,1.2296,10.81,10.48,51.0,49.0,14.95,14.9,1.436,1.439,1.035,2164,2020,144,93.35,6.65,1412,67,249,4.75
exp_1.15,1.15,mid_vs_top,Mid(150) vs Bayern,Mid-Team (150),FC Bayern München,5000,29.72,26.4,43.88,1.22,1.531,2.751,1.2296,1.5404,10.5,10.79,49.0,51.0,14.84,15.06,1.438,1.415,1.035,1477,1345,132,91.06,8.94,1961,57,253,2.91
exp_1.15,1.15,top_vs_low,Bayern vs Low(130),FC Bayern München,Low-Team (130),5000,55.12,23.32,21.56,1.78,1.035,2.815,1.8159,1.043,10.87,10.43,53.0,47.0,15.02,14.96,1.407,1.423,1.035,2668,2547,121,95.46,4.54,1073,69,218,6.43
exp_1.15,1.15,low_vs_top_defensive,Low(130) vs Bayern — Außenseiter defensiv,Low-Team (130),FC Bayern München,5000,21.46,22.08,56.46,1.038,1.85,2.887,1.043,1.8159,10.43,10.96,47.0,53.0,14.97,14.96,1.426,1.403,1.035,1088,959,129,88.14,11.86,2447,48,200,1.96
exp_1.15,1.15,top_attacking_vs_low_compact,Bayern vs Low(130) kompakt,FC Bayern München,Low-Kompakt (130),5000,54.78,23.96,21.26,1.702,0.958,2.66,1.7213,0.9518,10.76,9.22,52.0,48.0,14.98,15.38,1.403,1.459,1.035,2626,2517,109,95.85,4.15,1010,67,185,6.63
exp_1.25,1.25,equal_top_vs_equal_top,Bayern vs Bayern,FC Bayern München,FC Bayern München,5000,37.8,24.94,37.26,1.373,1.381,2.754,1.3981,1.3981,10.59,10.65,50.0,50.0,15.06,14.92,1.432,1.441,1.035,1854,1719,135,92.72,7.28,1724,67,244,3.89
exp_1.25,1.25,equal_mid_vs_equal_mid,Mid(150) vs Mid(150),Mid-Team (150),Mid-Team (150),5000,36.82,26.08,37.1,1.349,1.35,2.7,1.3579,1.3579,10.6,10.65,50.0,50.0,14.94,14.98,1.417,1.404,1.035,1814,1671,143,92.12,7.88,1707,66,242,3.87
exp_1.25,1.25,top_vs_mid,Bayern vs Mid(150),FC Bayern München,Mid-Team (150),5000,46.0,25.0,29.0,1.55,1.211,2.76,1.5574,1.219,10.67,10.56,51.0,49.0,14.95,15.07,1.431,1.436,1.035,2236,2101,135,93.96,6.04,1334,75,228,5.62
exp_1.25,1.25,mid_vs_top,Mid(150) vs Bayern,Mid-Team (150),FC Bayern München,5000,30.08,24.06,45.86,1.203,1.545,2.748,1.219,1.5574,10.51,10.71,49.0,51.0,15.13,14.93,1.413,1.409,1.035,1477,1351,126,91.47,8.53,1976,53,212,2.68
exp_1.25,1.25,top_vs_low,Bayern vs Low(130),FC Bayern München,Low-Team (130),5000,57.12,22.94,19.94,1.879,1.035,2.914,1.8624,1.0193,10.84,10.3,53.0,47.0,14.95,14.91,1.396,1.424,1.035,2755,2636,119,95.68,4.32,1022,86,210,8.41
exp_1.25,1.25,low_vs_top_defensive,Low(130) vs Bayern — Außenseiter defensiv,Low-Team (130),FC Bayern München,5000,20.8,22.3,56.9,1.001,1.853,2.853,1.0193,1.8624,10.36,10.95,47.0,53.0,14.96,14.96,1.451,1.422,1.035,1013,911,102,89.93,10.07,2485,39,208,1.57
exp_1.25,1.25,top_attacking_vs_low_compact,Bayern vs Low(130) kompakt,FC Bayern München,Low-Kompakt (130),5000,56.36,24.58,19.06,1.747,0.914,2.661,1.7613,0.9294,10.81,9.08,52.0,48.0,14.96,15.37,1.432,1.491,1.035,2706,2590,116,95.71,4.29,956,57,209,5.96
