club_name;tm_club_id;stadium_name;stadium_city;capacity_total;nord_standing;nord_seating;nord_vip;nord_total;ost_standing;ost_seating;ost_vip;ost_total;sued_standing;sued_seating;sued_vip;sued_total;west_standing;west_seating;west_vip;west_total;standing_total;seating_total;vip_total;price_standing;price_seating;price_vip;nlz_level;medizin_level;training_level;office_level;lawn_quality
FC Bayern München;27;Allianz Arena;München;75024;9000;7200;300;16500;200;16800;2500;19500;9000;7200;300;16500;0;18024;4500;22524;18200;49224;7600;15.00;50.00;180.00;3;3;3;3;95
Borussia Dortmund;16;Signal Iduna Park;Dortmund;81365;8000;10500;500;19000;0;11000;1500;12500;24454;0;0;24454;0;22911;2500;25411;32454;44411;4500;15.00;45.00;150.00;3;3;3;3;95
Bayer 04 Leverkusen;15;BayArena;Leverkusen;30210;5000;2500;0;7500;0;6000;500;6500;5000;2500;0;7500;0;7210;1500;8710;10000;18210;2000;14.00;40.00;140.00;3;3;3;3;92
RB Leipzig;23826;Red Bull Arena;Leipzig;47069;5000;5200;300;10500;0;9500;1000;10500;5000;5200;300;10500;0;13069;2500;15569;10000;32969;4100;14.00;38.00;130.00;3;3;3;3;92
Eintracht Frankfurt;24;Deutsche Bank Park;Frankfurt am Main;58000;6000;5000;0;11000;0;13000;1500;14500;6000;5000;0;11000;0;18500;3000;21500;12000;41500;4500;14.00;42.00;140.00;2;2;3;2;90
VfB Stuttgart;79;MHPArena;Stuttgart;60449;5500;5000;0;10500;0;12500;1000;13500;7000;4000;0;11000;0;21449;4000;25449;12500;42949;5000;13.00;38.00;130.00;2;2;2;2;90
SC Freiburg;60;Europa-Park Stadion;Freiburg im Breisgau;34700;6000;2000;0;8000;0;7500;700;8200;6000;2000;0;8000;0;9500;1000;10500;12000;21000;1700;13.00;35.00;120.00;1;2;2;2;88
Borussia Mönchengladbach;18;BORUSSIA-PARK;Mönchengladbach;54057;6000;5500;0;11500;0;11500;1000;12500;6000;5500;0;11500;0;17557;1000;18557;12000;40057;2000;13.00;37.00;125.00;2;2;2;2;88
TSG 1899 Hoffenheim;533;PreZero Arena;Sinsheim;30150;4000;2500;0;6500;0;6500;500;7000;4000;2500;0;6500;0;8650;1500;10150;8000;20150;2000;13.00;35.00;120.00;2;2;2;2;90
VfL Wolfsburg;82;Volkswagen Arena;Wolfsburg;30000;3500;3000;0;6500;0;6500;500;7000;3500;3000;0;6500;0;8500;1500;10000;7000;21000;2000;13.00;35.00;120.00;2;2;2;2;88
SV Werder Bremen;86;wohninvest WESERSTADION;Bremen;42100;7000;2500;0;9500;0;9500;600;10100;7000;2500;0;9500;0;12500;500;13000;14000;27000;1100;13.00;36.00;120.00;2;1;2;2;87
FC Augsburg;167;WWK Arena;Augsburg;30660;4000;2500;0;6500;0;7000;500;7500;4000;2500;0;6500;0;8660;1500;10160;8000;20660;2000;12.00;32.00;110.00;1;1;1;1;87
1. FSV Mainz 05;39;MEWA Arena;Mainz;33305;4000;2500;0;6500;0;7305;500;7805;4000;2500;0;6500;0;11000;1500;12500;8000;23305;2000;12.00;33.00;115.00;1;2;2;2;87
1. FC Union Berlin;89;Stadion An der Alten Försterei;Berlin;22012;3000;1500;0;4500;0;4500;500;5000;3000;1500;0;4500;0;6512;1500;8012;6000;14012;2000;12.00;30.00;105.00;1;1;2;1;85
VfL Bochum;80;Vonovia Ruhrstadion;Bochum;27599;3500;2000;0;5500;0;5999;500;6499;3500;2000;0;5500;0;9100;1000;10100;7000;19099;1500;12.00;28.00;100.00;1;1;1;1;85
Holstein Kiel;269;Holstein-Stadion;Kiel;15034;2000;1500;0;3500;0;3000;200;3200;2000;1500;0;3500;0;4334;500;4834;4000;10334;700;11.00;26.00;90.00;0;1;1;1;85
FC St. Pauli;35;Millerntor-Stadion;Hamburg;29546;3500;2000;0;5500;0;6000;500;6500;4500;1000;0;5500;0;10046;2000;12046;8000;19046;2500;13.00;32.00;110.00;1;1;1;1;87
1. FC Heidenheim;2110;Voith-Arena;Heidenheim an der Brenz;15000;3000;1000;0;4000;0;3000;200;3200;3000;1000;0;4000;0;3500;300;3800;6000;8500;500;11.00;26.00;90.00;0;1;1;0;85
